" Put your subject line here. This seems to be an example of meta-spam, intended to attract readers who want to send their own spam. Do not respond to this mail, it is simply an attempt to gather email addresses of people who actually read their mail!",spam
Hi Jerry nice to meet you,not spam
" CONTROL YOUR WEIGHT!!, standard electronic junkmail, fake headers, a cheap pitch, a holiday greeting and lots of exclamation points.",spam
" What are these spammers thinking? I can't imagine anyone would even read this, much less send money to an address in the Bahamas for this ONE-POUND-A-DAY DIET (Free Recipe Included!!!) scam.",spam
" I haven't been putting many examples in during November, not because we haven't been getting hit by spam attack after spam attack, but because we've been getting such nasty examples that common sense prevents me from putting them here. This recent one is a typical ""get rich"" scam, boring and tedious in its text and method, barely worth noting.",spam
 Get Rich Click Another lame get rich quick scam.,spam
" An Important Decision You Must Make It's actually a simple, unimportant decision...hit ""Delete"" without looking. It has bogus To and From lines, but we will find the sender's ISP and complain.",spam
" Please read ! This is not Spam ! Yes it is! And, a new form, sent to hundreds of addresses at hundreds of different sites, to people who have ""Anne"" in their email addresses. This is too much. You see we could never filter such things out. Your postmaster is working on tracking down this sender.",spam
" Free Shopping Cart For Your Website! This is New England. People say ""shopping carriage"" here. This ridiculous mail is full of typos and a suspicious-looking number to call to ""find out"" about it.",spam
Rick Wilson Tweeted: Now you know why he doesn’t want them to testify,not spam
" The Winter Park Express Pass Another junkmailing that contains bogus information about how to remove your address, and which ends with a sanctimonious statement about its compliance with some ""proposed"" US federal requirement. But, guess what...the proposed legislation concerns ""slamming"", not ""spamming""!",spam
" 1004-toner Not only is it junkmail, it's all in uppercase letters so it's impossible to read. I suppose that could be considered a plus. And look, it's from the Benchmark spammers way back in 1998!",spam
 UNIVERSITY DIPLOMAS (52200) Another spam wave of the now-classic fake-diploma scam. I got thirteen copies in my personal mailbox this morning. Plus all the bounced mail and all the complaints that came in to 'postmaster'. This is starting to annoy me.,spam
 Getting better all the time! I'm beginning to think an exclamation mark in the subject line is a good enough predictor of spam-ish content. I couldn't even bother to read this one.,spam
" Finally at Last! Another ad for video tapes from the folks at 208.166.10.x. The subject line is amusing in its redundant enthusiasm. But the text itself ends with a completely obnoxious paragraph about how to remove your name from their ""database"". This shows the cynical intention of the sender, which is simply to annoy as many people as possible. Basically, since they send the message using bogus ""To lines, if their instructions are accurate, following the instructions will not behave the way the recipient expects. This is a sort of double-spam"", which can only be read as a deliberate nuisance.",spam
" INTERNATIONAL DRIVER'S LICENSE Cheap-looking ad for some sort of fake-sounding driver's license. These come in with different numbers in the subject line and at the end of the message, so the sender is clearly determined to evade filters and annoy the public.",spam
" Polite Request There's some freeware called ""Spam Hater"" which seems popular among users of a large, commercial ISP. When users run it, it sends this ""polite"" message to what seems like every possible address contained in a mail message. Being freeware, let's just say it's worth what they paid for it. What it sends looks exactly like spam.",spam
" Just read this! Actually, don't bother to read it. This is a long-winded, old-fashioned chain letter that actually tells the reader to send money through the mail. In the style of mail itself, ""Unbelievable!!!!!!""",spam
" Buddha images Ad for a ""unique"" opportunity. For some reason, I can't think of ""unique"" and ""electronic junk mail"" at the same time.",spam
" Medical Equipment Not really, it's an ad for some sort of Macintosh-related hardware shop in Oregon.",spam
" INTERNET SLEUTH REPORT A breathless, long ad for a pamphlet that sounds like it consists of screen dumps from a few search sites.",spam
" US - Boersenbrief This is written in German, but it's got some inept html in it. How typical of spam.",spam
" 8.9 cent/min ... Contains a phone number and detailed instructions on how to ""remove"" yourself from their ""database"". Ignore everything they say. It's spam through and through.",spam
 Dear Valued Customer Looks like an ad for porno sites.,spam
 BOOST Your Website's Traffic An ad for cheesy-sounding internet services.,spam
CityRealty's top stories of 2019 | Tax-abated Manhattan condos,not spam
 No Hassle Offshore Merchant Accounts! This looks like it has something to do with gambling on the internet.,spam
 ATTRACT WOMEN EASILY! A breathless ad for pheromones. From the same folks who sent the cheesy-sounding video spam in August.,spam
" UUNIVERSITY DIPLOMAS This one shows up at MIT over and over. Diplomas from ""prestigious non-accredited universities"" for ""as little as $125"". What a joke.",spam
" 99 Toyotas as low as... Short note including ""appologies for your inconvenience"". Right.",spam
I like your idea. Thank you,not spam
 Meeting aand Charming Women Long-winded ad for some cheesy-sounding vide,spam
" ""Communication Studies The Desire for Fame: An Extension of Uses and...""
",not spam
in regard to your message,not spam
